corazón	N	3-1	avanzaron cara ao corazón da loita .	un corazón de carne de cinco libras servirá seis .	F
considerar	V	0-3	consideraron a posibilidade dunha folga .	por favor , considere a súa familia .	F
ataque	N	1-1	os ataques contra as mulleres aumentaron o ano pasado .	un ataque de diarrea .	F
xogo	N	6-1	necesitas catro persoas para xogar este xogo .	o xogo é 6 .	F
voz	N	6-1	un cantante coida ben da súa voz .	unha voz estridente soou detrás de nós .	F
aparencia	N	7-3	agardaba que as súas afirmacións tivesen unha aparencia de autenticidade .	intentan manter as aparencias .	F
tempo	N	3-2	agardaban un bo tempo .	agardou moito tempo .	F
tempo	N	1-2	leva tempo para cheirar as rosas .	tivo un tempo para conte-las bágoas .	F
agarrar	V	0-3	agarrádevos ás mans do voso pai !	esta historia vai agarrarte .	F
agarrar	V	2-2	este vestido agárrase ás costas .	o pasaxeiro agarrouse para a máscara de osíxeno .	F
exportar	V	0-2	exportamos menos do que importamos e temos un saldo comercial negativo .	os rusos exportaron o marxismo a áfrica .	F
facer	V	0-5	facer un camiño para o bosque .	ten , xoga , ou fai unha festa .	F
nominal	A	1-3	frase nominal .	o prezo era nominal .	F
fe	N	3-5	perdeu a súa fe , pero non a súa moralidade .	un membro da súa propia fe contradíxoo .	F
vestir	V	0-0	vestir a superficie suave .	vestir as feridas da vítima .	F
libro	N	2-1	mercou un libro de selos .	o libro de isaías .	F
negocio	N	2-2	o seu negocio co bastón era ilóxico .	un pequeno negocio de nai e pai .	F
aborixe	A	2-1	os pobos aborixes de australia .	rito aborixe .	F
temporal	A	1-3	óso temporal .	traballo nunha base temporal .	F
desenvolvemento	N	0-5	desenvolvemento de recursos de alaska .	despois de ver o último desenvolvemento cambiou de idea e converteuse en partidario .	F
teito	N	1-3	o teito da cova era moi alto .	odiaba pintar o teito .	F
visitar	V	3-2	cada verán , visitamos os nosos familiares no país durante un mes .	o presidente visitou o cárcere .	F
sistema	N	4-4	o corpo ten un sistema de órganos para a dixestión .	tiveron que idear un sistema que non dependese da cooperación .	F
loitar	V	1-5	ela loitou durante anos para sobrevivir sen benestar .	os sirenes están sempre a loitar .	F
xornal	N	4-3	eles usaban balas de xornal todos os días .	murdoch posúe moitos xornais .	F
romper	V	1-0	eu rompín no novo interno .	rompe un coartada .	F
vestir	V	3-0	ela estaba a vestir un chapeu novo .	vestir as peles curtidas .	F
proba	N	3-3	se ten algunha proba do que di , agora é o momento de producila .	sobreviviu á gran proba da batalla .	F
boca	N	3-2	cabalgou ata a boca do canón .	ten catro bocas que alimentar .	F
separar	V	1-2	moisés separou o mar vermello .	os amigos separáronse despois da festa .	F
rexión	N	3-4	ía tardar na rexión de dous ou tres meses para rematar o traballo .	os pingüíns habitan nas rexións polares .	F
acceso	N	5-1	deu un xiro equivocado no acceso á ponte .	obtivo acceso ao edificio .	F
provincial	A	1-1	goberno provincial .	profundamente provincial e conformista .	F
banco	N	4-4	cobrou un cheque no banco .	o avión entrou nun banco escarpado .	F
pensar	V	2-1	de verdade pensas iso ?	só pensa que pode ser rico un día !	F
espazo	N	3-3	case non hai espazo para virar .	dixo que o espazo é o personaxe máis importante do alfabeto .	F
recoñecer	V	1-1	ela recoñeceu o seu complemento cun sorriso .	non recoñecemos os teus deuses .	F
valor	N	6-1	o shylock de shakespeare ten un valor dubidoso no mundo moderno .	o valor asignado era de 16 milisegundos .	F
compoñente	N	3-1	elemento constitutivo ou compoñente dun sistema .	o compoñente máis pequeno é de difícil acceso .	F
heroico	A	1-1	escultura heroica .	leyendas heroicas .	F
rúa	N	2-7	camiñaban polas rúas da vila .	intentou manter aos seus fillos fóra da rúa .	F
emocional	A	3-1	foi un xuízo emocional .	saúde emocional .	F
lavar	V	2-2	o gato lávase varias veces ao día .	o río lavaba un barranco na ladeira da montaña .	F
exemplo	N	4-5	este paciente é un exemplo típico da síndrome .	pero sempre hai o famoso exemplo dos smiths .	F
cambiar	V	0-2	cambiar a énfase .	non podía cambiar , polo que todas as súas cartas estaban escritas en minúsculas .	F
cambio	N	1-2	o cambio de goberno non tivo ningún impacto na economía .	trouxo un cambio no bolso da noite .	F
entregar	V	0-2	entrega un ataque , dá un golpe .	o porteiro entregou a pelota .	F
afogar	V	2-3	o ruído afogou o seu discurso .	o seu traballo afogouno .	F
caso	N	4-1	dixo claramente o seu caso .	un caso de desacougo .	F
esperar	V	1-2	ela espera en marzo .	tiven que esperar unha hora para conseguir os billetes .	F
rudimento	N	5-6	chegou a dominar soamente os rudimentos da xeometría .	o divertículo de meckel é o rudimento do saco vitelino embrionario .	F
sincronizar	V	0-0	sincronizar este filme .	sincronizar eventos bíblicos .	F
perigo	N	2-3	había un perigo de que fixera a cousa equivocada .	non estás en perigo .	F
ortodoxo	A	2-1	unha visión ortodoxa do mundo .	xudaísmo ortodoxo .	F
man	N	3-11	dea unha gran man á señora .	os antebrazos dos jedi parecen non desenvolvidos , pero as poderosas mans de cinco dedos son hábiles en deslucir e nubrar: springfield (massachusetts) union .	F
obxectivo	A	1-2	caso obxectivo .	unha avaliación obxectiva .	F
centro	N	6-3	na maioría das persoas , o centro da fala está no hemisferio esquerdo .	o corazón do centro de birmingham .	F
respecto	N	3-1	perdeu todo o respecto por el .	por respecto á súa privacidade .	F
fe	N	3-5	el amaba a fe dunha boa muller .	un membro da súa propia fe contradiciuno .	F
man	N	4-2	non levei unha boa man en toda a noite .	tiña as mans dun cirurxián .	F
superficie	N	3-7	escapaban sobre a superficie da auga .	non era o que parecía estar na superficie .	F
rúa	N	4-7	coidado ao cruzar a rúa .	traballou a ambos os dous lados da rúa .	F
tratamento	N	2-0	o seu tratamento do espazo é un borrador da arquitectura italiana .	tratamento de augas residuais .	F
conectar	V	3-1	operadora , pode conectarme con raffles en singapur ?	podes conectar os dous altofalantes ?	F
poder	N	6-1	o fillo obtivo da nai un poder notarial que lle outorga amplas facultades .	o poder de disuasión das armas nucleares .	F
empuxar	V	2-8	o coche empuxa á dereita .	o tipo que anda na escola está a empuxar droga .	F
ver	V	3-0	pola mañá fomos ver a torre eiffel .	vexo que foi promovido .	F
dereito	N	0-1	dereitos minerais .	os dereitos constitúen a maior parte do orzamento federal .	F
cousa	N	5-1	o baúl estaba cheo de cousas .	unha cousa do espírito .	F
actuar	V	1-3	ela actúa como a cadeira .	horowitz está a actuar no carnegíe hall esta noite .	F
proceso	N	1-1	o proceso de aclaración comeza máis tarde para os nenos que para as nenas .	o proceso de negación .	F
sombra	N	5-5	o pobre neno era a sombra da súa nai .	recibiu pouco recoñecemento traballando á sombra do seu pai .	F
fisiolóxico	A	1-1	funcións fisiolóxicas .	psicoloxía fisiolóxica .	F
coche	N	10-2	levou a familia a dar un paseo no seu novo coche .	precisa dun coche para ir traballar .	F
executar	V	0-2	executar a decisión do pobo .	o presidente executou o tratado .	F
confusión	N	0-4	confusión de linguas na torre de babel .	o exército retirouse en confusión .	F
pracer	N	4-5	estaba a esborranchar de pracer .	o coche novo é un pracer .	F
decisión	N	3-1	o peso da decisión foi seu .	unha decisión desfavorable á oposición .	F
cortar	V	0-0	cortar as cancións .	cortar bourbon .	F
lingua	N	2-0	falaba cunha lingua grosa .	linguas de lume lambidas nas paredes .	F
corazón	N	4-2	guiou a raíña de corazóns .	no teu corazón sabes que é verdade .	F
volume	N	3-2	faltaba o terceiro volume .	mestura un volume de solución con dez volumes de auga .	F
revolucionario	A	1-1	guerras revolucionarias .	panfletos revolucionarios .	F
poñer	V	1-1	el púxolle á tortura .	ela puxo demasiada énfase na súa última declaración .	F
dirección	N	2-4	comprobou a dirección e a velocidade do vento .	non podía seguir a dirección dos seus pensamentos .	F
corpo	N	0-1	corpo celestial .	un corpo de lei .	F
romper	V	4-5	o prezo das accións rompeu .	o vendedor de libros non rompería o conxunto .	F
ter	V	3-2	estes carteis feos teñen que ir !	o nicklús tiña un 70 .	F
centro	N	5-4	golpeou a pelota ata o centro profundo .	recibiron mensaxes de varios centros .	F
levantar	V	0-1	levanta os ollos .	podes levantar a estante ?	F
polar	A	1-1	diámetro polar .	rexións polares .	F
levar	V	2-3	o frasco leva viño .	poñer 5 e levar 2 .	F
invadir	V	3-2	este novo compañeiro invade o meu territorio .	o cancro invadiu os pulmóns .	F
tópico	A	4-9	un fármaco para aplicacións tópicas (ou locais) .	un rexistro detallado tanto sobre unha base cronolóxica como tópica .	F
deseño	N	2-3	contribuíu ao deseño dun novo instrumento .	era un excelente deseño para vivir .	F
desaloxar	V	0-2	desaloxar a botella .	o propietario desaloxou aos inquilinos despois de non pagar o aluguer durante catro meses .	F
realista	A	4-2	un sistema de pensamento realista .	unha descrición realista .	F
sono	N	5-6	calma como un neno nun sono sen soños .	sentíase mellor despois dun pouco de sono .	F
modelo	N	5-1	todos os nenos necesitan un modelo .	un modelo de claridade .	F
puntuación	N	3-2	engadide a miña puntuación e despois xa me arranxarei .	fixo boas puntuacións en álxebra .	F
fatiga	N	3-0	estaba destinado ás fatigas da cociña .	fatiga de metal .	F
terapéutico	A	1-1	dietas terapéuticas .	enfoque terapéutico da criminalidade .	F
desafiar	V	1-2	fischer desafiou a spassky a un partido .	o político desafiou a opinión pública .	F
penal	A	1-1	reforma penal .	servidume penal .	F
demostrar	V	2-2	esta decisión demostra o seu sentido de xustiza .	o experimento demostrou a inestabilidade do composto .	F
controlar	V	0-2	controla unha conta .	está a controlar a temperatura ?	F
axiomático	A	1-2	sabiduría axiomática .	unha verdade axiomática .	F
exposición	N	2-8	denunciou a exposición de nenos á pornografía .	teríamos entendido a obra mellor se houbese algunha exposición inicial do fondo .	F
humano	A	9-1	o experimento realizouse en 6 monos e 2 suxeitos humanos .	seres humanos .	F
cívico	A	1-5	centro cívico .	sempre se portou de xeito cívico con todos .	F
ollo	N	5-2	o fío non atravesaría o ollo .	ten un ollo para o talento fresco .	F
ver	V	1-7	fun ver a miña amiga mary o outro día .	ten que ser un bo observador para ver todos os detalles .	F
partido	N	8-1	en 1992 , perot intentou organizar un terceiro partido a nivel nacional .	o partido durou dúas horas .	F
desexo	N	3-4	os meus mellores desexos .	un home de moitos desexos .	F
decisión	N	4-2	o equipo tomou tres decisións seguidas .	satisfeito coa decisión do xurado .	F
orientar	V	6-0	o decano de estudantes trata de orientar os fresquiños .	orienta a casa cara ao sur .	F
humanitario	A	1-5	axuda humanitaria .	liberaron o prisioneiro por razóns humanitarias .	F
estudo	N	2-3	é un estudo rápido .	ningunha escola ofrece estudos de posgrao en deseño de interiores .	F
lonxitudinal	A	1-3	calculación lonxitudinal polo navegador .	unha delgada tira lonxitudinal .	F
espazo	N	0-3	espazo para a mellora .	o arquitecto deixou espazo diante do edificio .	F
asolagar	V	3-2	o noso soto asolagouse durante as fortes choivas .	o tsunami asolagou todos os barcos do porto .	F
visión	N	8-2	os corredores emerxeron das árbores para a súa visión clara .	tivo unha visión da virxe maría .	F
saltar	V	1-4	el saltou para o xogo .	o terrorista non quixo saltar .	F
fixar	V	0-1	fixou a súa mirada no home .	imos fixar a data para a festa !	F
deseño	N	0-2	deseño dun edificio .	o estraño deseño do teclado facía difícil o funcionamento .	F
camiñar	V	6-2	os amantes levaban as mans mentres camiñaban .	temos que camiñar cos nosos irmáns e irmás desposuídos .	F
nacional	A	1-1	heroe nacional .	parques nacionais .	F
chocar	V	2-2	o coche chocou a través da porta de cristal .	os coches chocaron .	F
cuarto	N	1-6	os cuartos eran moi pequenos , pero tiñan unha boa vista .	os dous equipos anotaron no primeiro cuarto .	F
nariz	N	2-2	ten o nariz arrefriado .	ten un nariz para bos negocios .	F
supervivente	N	5-6	deixou a granxa aos seus superviventes .	só os animais máis aptos eran superviventes dos fríos invernos .	F
refutar	V	2-2	o físico refutou as afirmacións do psíquico .	o físico refutou as teorías dos seus colegas .	F
recargar	V	1-0	ela recargou a arma con coidado .	recargar unha batería .	F
sacudir	V	2-0	o químico sacudiu o frasco vigorosamente .	sacudir a cabeza .	F
temporal	A	1-1	procesamento temporal .	temas temporais dun momento fugaz- f.d.roosevelt .	F
matemático	A	1-4	precisión matemática .	un libro de texto matemático .	F
número	N	1-5	cada número ten unha posición única na secuencia .	espero ser un dos seus números antes de morrer .	F
proceso	N	2-1	eventos en proceso .	o proceso do pensamento .	F
prato	N	2-2	dabámoslles uns pratos para regalos de voda .	servíronme un prato de arroz .	F
golpear	V	2-2	o pánico golpeoume .	o profesor golpeou o neno .	F
etéreo	A	6-1	é o máis pequeno e máis etéreo dos paxaros .	solución etérea .	F
inimigo	N	1-9	o inimigo ataca de madrugada .	un soldado debe estar preparado para matar os seus inimigos .	F
modificación	N	0-4	modificación do modelo do ano pasado .	o barrio sufrira poucas modificacións desde a súa última visita hai anos .	F
parque	N	8-5	hai leis que protexen a vida silvestre neste parque .	o puxo o coche no parque e saíu .	F
cruzar	V	0-2	cruza a rosca !	mendel tentou cruzarse .	F
sistema	N	1-2	nun sistema estático , o aceite non pode ser substituído por auga sobre unha superficie .	un vasto sistema de produción , distribución e consumo mantén o país en marcha .	F
escribir	V	1-2	el escribiu que viría en breve .	o artista escribiu personaxes chineses nun gran papel branco .	F
ventilar	V	5-4	o arquitecto non pensou en ventilar o espazo de almacenamento .	o refacho de aire ventilou a sala .	F
lugar	N	2-5	no segundo lugar .	quen é o dono deste lugar ?	F
sector	N	3-1	estaba indefenso nun sector importante da súa vida .	o sector público .	F
vocal	A	1-2	órganos vocais .	unha asemblea vocal .	F
sinfónico	A	1-2	coro sinfónico .	o zunido sinfónico dun millón de insectos .	F
cambio	N	1-2	o cambio consistía en incrementar as vendas .	revisou varios cambios antes de seleccionar un .	F
colonizar	V	2-2	os británicos colonizaron a costa leste .	os europeos colonizaron áfrica no século xvii .	F
inauguración	N	2-6	asistiu á inauguración da estatua .	o novo presidente disfrutou da súa inauguración .	F
sustento	N	2-6	o seu sustento dos orfos salvou moitas vidas .	xa non podía gaña-lo seu propio sustento .	F
ámbito	N	2-2	dentro do ámbito dunha investigación .	o seu ámbito social é limitado .	F
radial	A	1-1	calor radial .	simetría radial .	F
literario	A	1-1	crítica literaria .	estilo literario .	F
deitar	V	0-5	deitarse na cama ata que te sintas mellor .	o porteiro do hotel podía deitar todos os recentemente-chegados .	F
literario	A	8-1	cando intentaba impresionar a alguén falaba nun estilo literario afectado .	comentarios literarios .	F
dominio	N	0-2	dominio dos mares .	o seu dominio estendeuse a europa .	F
cargar	V	1-2	el cargouna de limpar todos os arquivos durante a fin de semana .	os bombeiros cargaron o camión .	F
aparecer	V	1-8	gielgud aparece brevemente nesta película .	o novo filme de woody allen aínda non apareceu .	F
ciclo	N	1-4	os ciclos de cancións de schubert .	un ano é un ciclo de estacións .	F
verter	V	2-0	o camión verteu o lixo na rúa .	verter os feixóns por toda a mesa .	F
mental	A	1-1	paciente mental .	poderes mentais .	F
correr	V	0-5	correr amok .	quen son estas persoas a correr no edificio ?	F
exercicio	N	0-4	exercicios académicos .	o médico recomenda o exercicio regular .	F
vía	N	1-2	as vías nasais .	exploraron tódalas vías nas que podían pensar .	F
facer	V	3-6	non se pode facer que as persoas se integren só aprobando unha lei !	un bo comentario deste crítico vai facer o seu xogo !	F
moeda	N	2-4	decimalización da moeda británica .	o dólar é a moeda dos estados unidos .	F
conflito	N	3-3	esta forma de conflito é esencial para a escritura de mann .	estaba inmobilizado polo conflito e a indecisión .	F
superficial	A	3-6	un depósito xeolóxico superficial .	unha noite de sono inquedo e superficial .	F
voar	V	3-0	rumores e acusacións voan .	voar a unha furia .	F
nacional	A	2-2	de interese nacional .	un trazo nacional .	F
brillo	N	1-2	o brillo dos zapatos proporcionaba unha vida máis feble .	tiña un brillo nos ollos .	F
coche	N	7-1	tomaron o seu panexírico por alegrías en coches roubados .	tres coches chocaron contra as vías .	F
substitución	N	10-0	enviou a smith a cambio de jones , pero a substitución chegou demasiado tarde para axudar .	substitución do sangue perdido por unha transfusión do sangue do doante .	F
terror	N	2-2	era o terror do barrio .	usou o terror para facerlles confesar .	F
noite	N	2-2	desapareceu na noite .	tiven unha noite axitada .	F
manual	A	1-1	destreza manual .	transmisión manual .	F
cabeza	N	7-2	as entradas son de 5€ por cabeza .	é dúas cabezas máis altas que a súa irmá pequena .	F
sentar	V	2-2	cando se senta o tribunal de xustiza ?	o anfitrión sentoume ao lado da sra.smith .	F
conducir	V	0-0	conducir o bosque .	conducir un túnel .	F
vestir	V	1-0	ela vístese da última moda de parís .	vestir as fiestras .	F
mestre	N	5-3	os libros eran os seus mestres .	un dos antigos mestres .	F
pracer	N	1-5	o pracer da súa compañía .	pon o deber diante do pracer .	F
dignidade	N	5-2	estaba por debaixo da súa dignidade para enganar .	respectaba a dignidade dos emisarios .	F
cómico	A	1-2	heroe cómico .	un sombreiro cómico .	F
paso	N	2-1	camiñaba con pasos inestables .	oía pasos no soportal .	F
anaco	N	5-2	é abaixo da estrada un anaco .	necesitaba un anaco de granito .	F
idealizar	V	2-3	o deseñador idealizou o vestido negro .	o home sempre idealizou .	F
informe	N	0-2	informe do seu discurso .	oíron un informe violento seguido do silencio .	F
asinar	V	1-1	el asinou para xogar o casino o 18 de decembro .	xa asinou o seu contrato ?	F
debuxar	V	0-2	debuxar unha carta .	o material debuxouse despois de lavalo en auga quente .	F
propagar	V	5-0	o son e a luz propáganse neste medio .	propagar estas características .	F
crise	N	2-5	despois da crise , o paciente ou morre ou mellora .	foron á quebra durante a crise económica .	F
erro	N	2-5	cometeu un erro grave .	non ía admitir o seu erro .	F
lugar	N	4-2	se estiveses no meu lugar , que farías ?	ten un lugar especial nos meus pensamentos .	F
ver	V	1-6	agora vexo !	o artista debe aprender primeiro a ver .	F
negar	V	1-1	el negou as acusacións .	ela nega todo o pracer .	F
térmico	A	1-2	capacidade térmica .	unha queima térmica .	F
xuvenil	A	1-2	diabete xuvenil .	un sorriso xuvenil .	F
resistencia	N	5-4	atopou un sentimento xeral de resistencia por parte de moitos cidadáns .	o maratón proba a resistencia dun corredor .	F
golpe	N	1-1	o golpe repentino sacudiuno .	un golpe na cabeza .	F
incendiario	A	1-2	incendio incendiario .	un axente incendiario .	F
complementar	V	0-4	complementa a túa dieta .	preciso de pementa para complementar o doce toque na sopa .	F
bebé	N	5-1	este proxecto é o seu bebé .	o bebé da familia .	F
visita	N	2-6	fixo unha visita ao dentista .	pasou por alí para facerlle unha visita .	F
silencio	N	2-1	houbo un silencio conmocionado .	necesitaba silencio para poder durmir .	F
actuar	V	2-3	esta escena actúa ben .	pensa antes de actuar .	F
cabeza	N	5-8	a oficina estaba chea de cabezas secretas .	non conseguín tirar as palabras del da miña cabeza .	F
operación	N	3-6	estaban aprendendo as operacións básicas da aritmética .	pode levar a cabo millóns de operacións por segundo .	F
utópico	A	6-2	recoñeceu a natureza das súas esperanzas utópicas .	unha novela utópica .	F
negocio	N	2-4	mercou o negocio do seu irmán .	non creei ningún outro negocio con el .	F
país	N	6-2	estudantes que viñeron á capital do país .	visitou varios países europeos .	F
correr	V	0-1	corre para a tenda !	imos correr e ver quen chega primeiro .	F
lume	N	5-1	no alto do monte había lume .	o lume foi un dos primeiros descubrimentos dos nosos antepasados .	F
radiar	V	2-0	os raios radian desde o centro da roda .	radiou para pedir axuda .	F
democrático	A	2-1	o goberno democrático .	senador democrático .	F
vexetación	N	7-1	pasaban as súas vacacións durmindo e coa vexetación .	plistoceno vexetación .	F
poñer	V	0-0	poñemos o tempo de chegada ás 8 da tarde .	poñer énfase nun determinado punto .	F
desculpa	N	4-2	escribiu unha carta de desculpa á anfitriona .	foi unha desculpa por unha refeición .	F
liderado	N	3-3	desafiaron o seu liderado do sindicato .	el toma o liderado en calquera grupo .	F
grao	N	7-2	o partido xogouse a pesar dos 40 graos de temperatura .	un extraordinario grao de franqueza .	F
manobrar	V	1-6	el manobrou para conseguir a presidencia .	o meu novo supervisor sabe como manobrar o xefe na maioría das situacións .	F
engurra	N	0-6	engurras do estómago .	o ferro desfaise da maioría das engurras .	F
patentar	V	1-3	debo patentar este invento ?	o seu comportamento patentou un feito embarazoso sobre el .	F
asociación	N	3-8	atopáronse pétalos en asociación cos restos prehistóricos do oso .	o condicionamento é unha forma de aprendizaxe por asociación .	F
cromático	A	1-2	lentes cromáticas .	unha escala cromática .	F
